dateUploaded,description,geo_status,hashtags,imgId,positionInStatus,searchTermUsed,url,user_id,user_name
Tue Jun 26 23:46:01 +0000 2018,This is crazy! \ Photographer captures whale shark swimming beneath sleepy fisherman https://t.co/5SJs6efglg https://t.co/Slwusi4ET2,,[],1011757504039129088,1,Whale Shark,http://pbs.twimg.com/media/Dgp8FuMWkAAMQGR.jpg,904019811281207297,Suzanne Fitzgerald
Tue Jun 26 23:44:57 +0000 2018,RT @floofyfluff: Strawberry doughnut whale shark 🦈🍩 https://t.co/1pBtFwGry7,,[],904005658676264960,1,Whale Shark,http://pbs.twimg.com/media/DIusW2BXgAAQzx9.jpg,904134512765833216,NPC Michi
Tue Jun 26 21:34:13 +0000 2018,@MrJWW That front grill reminds me of a whale shark mouth https://t.co/6kSgSW0VD0,,[],1011724329380347904,1,Whale Shark,http://pbs.twimg.com/tweet_video_thumb/Dgpd6s9WAAARzaW.jpg,15452653,Paul
Tue Jun 26 20:00:41 +0000 2018,"Call me when the make one shaped like a great white shark. #jaws
RT @CNET: You can be your own Killer Whale https://t.co/VI9PkDKoFT",,[{u'tag': u'jaws'}],939205783870357504,1,Whale Shark,http://pbs.twimg.com/amplify_video_thumb/939205783870357504/img/AiFmPCzovsaU5q9_.jpg,610182088,Channing Sherman
Tue Jun 26 18:22:49 +0000 2018,RT @cuteanimalsp: Close encounter with a beautiful Whale Shark La Paz Baja California Sur.... https://t.co/L8Md5PYbuW,,[],1009982202107449344,1,Whale Shark,http://pbs.twimg.com/media/DgQtdjIU0AAIgW3.jpg,908702411648262146,ESTArtDecor
Tue Jun 26 14:25:42 +0000 2018,RT @naturelove__zoo: Close encounter with a beautiful Whale Shark La Paz Baja California Sur... https://t.co/N6lmHoLkkw,,[],1009982344906698752,1,Whale Shark,http://pbs.twimg.com/media/DgQtl3GUcAAEbLj.jpg,372189219,Garth
Tue Jun 26 23:22:30 +0000 2018,"RT @JudyWhitton: New artwork for sale! - ""Reticulated Giraffe"" - https://t.co/rhBCWURJzV @fineartamerica https://t.co/ZN51H8NNZW",,[],1011007194102489093,1,Reticulated Giraffe,http://pbs.twimg.com/media/DgfRr73X4AUc1ML.jpg,2956193787,Judy Whitton
Tue Jun 26 23:22:18 +0000 2018,"RT @JudyWhitton: New artwork for sale! - ""Reticulated Giraffe #4"" - https://t.co/osVB1y7n2a @fineartamerica https://t.co/RcuIwYZ43F",,[],1010986897890562049,1,Reticulated Giraffe,http://pbs.twimg.com/media/Dge_OilXUAE9ew0.jpg,2956193787,Judy Whitton
Tue Jun 26 23:21:25 +0000 2018,"RT @JudyWhitton: New artwork for sale! - ""Reticulated Giraffe #2"" - https://t.co/3GNjrrPzRD @fineartamerica https://t.co/PjId56GaeZ",,[],1010720509384945665,1,Reticulated Giraffe,http://pbs.twimg.com/media/DgbM8sEXcAEIzIa.jpg,2956193787,Judy Whitton
Tue Jun 26 10:07:05 +0000 2018,"RT @ymk_cg: アミメキリンの日  🦒
#アミメキリン
#reticulated giraffe
#けものフレンズ
#動物朋友
#KEMONO FRIENDS https://t.co/JJWOf7LZhN",,"[{u'tag': u'アミメキリン'}, {u'tag': u'reticulated'}, {u'tag': u'けものフレンズ'}, {u'tag': u'動物朋友'}, {u'tag': u'KEMONO'}]",1009381657063772162,1,Reticulated Giraffe,http://pbs.twimg.com/media/DgILROgU0AIi9nS.jpg,3748808533,八咫日和：毎週火曜日にゲームしてる人
Sun Jun 24 22:04:33 +0000 2018,"New artwork for sale! - ""Reticulated Giraffe"" - https://t.co/rhBCWURJzV @fineartamerica https://t.co/ZN51H8NNZW",,[],1011007194102489093,1,Reticulated Giraffe,http://pbs.twimg.com/media/DgfRr73X4AUc1ML.jpg,2956193787,Judy Whitton
Sun Jun 24 21:16:11 +0000 2018,"RT @JudyWhitton: New artwork for sale! - ""Reticulated Giraffe #4"" - https://t.co/osVB1y7n2a @fineartamerica https://t.co/RcuIwYZ43F",,[],1010986897890562049,1,Reticulated Giraffe,http://pbs.twimg.com/media/Dge_OilXUAE9ew0.jpg,2848392921,Leslie Montgomery
Sun Jun 24 20:43:54 +0000 2018,"New artwork for sale! - ""Reticulated Giraffe #4"" - https://t.co/osVB1y7n2a @fineartamerica https://t.co/RcuIwYZ43F",,[],1010986897890562049,1,Reticulated Giraffe,http://pbs.twimg.com/media/Dge_OilXUAE9ew0.jpg,2956193787,Judy Whitton
